CompanyNumber,scrape_status,had_text,json_valid,schema_ok,error,stack_layer,function,business_model,vertical,primary_niche,primary_niche_raw,confidence,rationale,needs_review,reconcile
05040786,no-url,False,True,True,,services,other,project_oneoff,horizontal,insufficient_evidence,insufficient_evidence,0.3,No website text available; routed to insufficient_evidence without an LLM call.,True,agree_boost
10238710,failed,False,True,True,,services,other,project_oneoff,horizontal,insufficient_evidence,insufficient_evidence,0.3,No website text available; routed to insufficient_evidence without an LLM call.,True,agree_boost
11244516,scraped,True,True,True,,software,data_analytics_ai|app_dev,recurring_managed,horizontal,data_analytics_ai,data_analytics_ai__horizontal,0.9,Builds AI marketing software for customer engagement,False,disagree_trust_llm
07869745,scraped,True,True,True,,services,msp_infrastructure|networking|cyber,recurring_managed,education,msp_infrastructure__education,msp_infrastructure__education,1.0,IT support and managed services for schools,False,agree_boost
07291268,scraped,True,True,True,,services,app_dev|other,recurring_managed,construction|property,app_dev__construction,app_dev__construction,0.9,BIM CAD support construction property modelling services,False,agree_boost
10172008,scraped,True,True,True,,services,other,recurring_managed,horizontal,other,other__horizontal,0.9,"IT recruitment services, client focused, recurring model",False,agree_boost
12934414,scraped,True,True,True,,services,erp_crm|app_dev,recurring_managed,finserv,erp_crm__finserv,erp_crm__finserv,1.0,"Fintech payment solutions provider, recurring managed model",False,agree_boost
05643067,scraped,True,True,True,,services,other,recurring_managed,horizontal,other,other,0.9,Consultancy and advisory services for technology leaders,False,agree_boost
03306398,failed,False,True,True,,services,other,project_oneoff,horizontal,insufficient_evidence,insufficient_evidence,0.3,No website text available; routed to insufficient_evidence without an LLM call.,True,disagree_no_text_review
10894906,scraped,True,True,True,,services,msp_infrastructure|other,recurring_managed,healthcare|legal|finserv|govt|education|property|construction|manufacturing|retail|horizontal,other,other__horizontal,0.9,"Utilities infrastructure services, design, build, maintain",False,agree_boost
12189596,scraped,True,True,True,,services,other,recurring_managed,construction|healthcare|property,other__construction,other__construction,0.8,Health and safety compliance guidance and systems,False,no_rules_overlap
02935043,scraped,True,True,True,,services,msp_infrastructure|other,resale_distribution,horizontal,msp_infrastructure,msp_infrastructure__horizontal,0.9,IT services and office supplies reseller,False,agree_boost
11622995,scraped,True,True,True,,services,other,project_oneoff,legal|healthcare,other__legal,other__legal,0.8,Expert assessments for legal and healthcare sectors,False,no_rules_overlap
12825420,failed,False,True,True,,services,other,project_oneoff,horizontal,insufficient_evidence,insufficient_evidence,0.2,No website text available; routed to insufficient_evidence without an LLM call.,True,disagree_no_text_review
10075818,failed,False,True,True,,services,other,project_oneoff,horizontal,insufficient_evidence,insufficient_evidence,0.2,No website text available; routed to insufficient_evidence without an LLM call.,True,disagree_no_text_review
12331935,scraped,True,True,True,,software,app_dev|erp_crm,recurring_managed,healthcare|retail|property|manufacturing|horizontal,app_dev,app_dev__horizontal,0.9,Builds and sells industry specific software solutions,False,disagree_trust_llm
08823139,no-url,False,True,True,,services,other,project_oneoff,horizontal,insufficient_evidence,insufficient_evidence,0.2,No website text available; routed to insufficient_evidence without an LLM call.,True,no_rules_overlap
12261331,scraped,True,True,True,,services,cyber|cloud_devops,recurring_managed,horizontal,insufficient_evidence,insufficient_evidence,0.9,IT consulting and managed services provider,False,disagree_trust_llm
08583145,scraped,True,True,True,,data_info_services,other,recurring_managed,property,other__property,other__property,0.8,Property investment fund managing real estate assets,False,no_rules_overlap
12229780,no-url,False,True,True,,services,other,project_oneoff,horizontal,insufficient_evidence,insufficient_evidence,0.2,No website text available; routed to insufficient_evidence without an LLM call.,True,no_rules_overlap
SC315147,parked,False,True,True,,services,other,project_oneoff,horizontal,insufficient_evidence,insufficient_evidence,0.2,No website text available; routed to insufficient_evidence without an LLM call.,True,disagree_no_text_review
10104547,scraped,True,True,True,,software,app_dev,recurring_managed,retail|horizontal,app_dev__retail,app_dev__retail,0.9,Builds and operates a marketplace software platform,False,disagree_trust_llm
00949387,scraped,True,True,True,,data_info_services,data_analytics_ai,recurring_managed,finserv|horizontal,data_analytics_ai__finserv,data_analytics_ai__finserv,1.0,"Operates data business, provides insights, global enterprise",False,agree_boost
NI654471,scraped,True,True,True,,services,other,project_oneoff,horizontal,other,other__horizontal,0.7,"Consulting on org development, strategy, assessment, evaluation",False,disagree_trust_llm
03352562,failed,False,True,True,,services,other,project_oneoff,horizontal,insufficient_evidence,insufficient_evidence,0.2,No website text available; routed to insufficient_evidence without an LLM call.,True,disagree_no_text_review
12713861,failed,False,True,True,,services,other,project_oneoff,horizontal,insufficient_evidence,insufficient_evidence,0.2,No website text available; routed to insufficient_evidence without an LLM call.,True,disagree_no_text_review
04291764,scraped,True,True,True,,services,other,recurring_managed,govt|legal|horizontal,other__govt,other__govt,0.8,Charity providing advice services to residents,False,disagree_trust_llm
12239626,parked,False,True,True,,services,other,project_oneoff,horizontal,insufficient_evidence,insufficient_evidence,0.2,No website text available; routed to insufficient_evidence without an LLM call.,True,no_rules_overlap
03433658,scraped,True,True,True,,connectivity_hosting,networking,recurring_managed,horizontal,networking,networking__horizontal,0.9,"Provides broadband, lines, calls, mobile communication services",False,agree_boost
04246210,scraped,True,True,True,,services,networking|msp_infrastructure,recurring_managed,horizontal,networking,networking__horizontal,1.0,Telecommunications installation maintenance sales and network services,False,disagree_trust_llm
04726666,scraped,True,True,True,,services,msp_infrastructure|erp_crm,recurring_managed,manufacturing|horizontal,msp_infrastructure__manufacturing,msp_infrastructure__manufacturing,0.8,Provides managed IT services and integration solutions,False,disagree_trust_llm
06788758,failed,False,True,True,,services,other,project_oneoff,horizontal,insufficient_evidence,insufficient_evidence,0.2,No website text available; routed to insufficient_evidence without an LLM call.,True,disagree_no_text_review
06500774,scraped,True,True,True,,software,app_dev|data_analytics_ai,recurring_managed,horizontal,app_dev,app_dev__horizontal,0.8,Builds CX insights software for cloud communications,False,disagree_trust_llm
04598170,scraped,True,True,True,,services,other,recurring_managed,horizontal,other,other__horizontal,0.8,Security and fire protection services provider,False,disagree_trust_llm
11820414,failed,False,True,True,,services,other,project_oneoff,horizontal,insufficient_evidence,insufficient_evidence,0.2,No website text available; routed to insufficient_evidence without an LLM call.,True,disagree_no_text_review
04280768,scraped,True,True,True,,hardware_infra,other,recurring_managed,manufacturing|horizontal,other__manufacturing,other__manufacturing,0.8,Plasma arc technology developer and provider,False,disagree_trust_llm
03912924,scraped,True,True,True,,services,msp_infrastructure|networking|cloud_devops,recurring_managed,horizontal,msp_infrastructure,msp_infrastructure__horizontal,0.9,IT support and cloud communications provider,False,disagree_trust_llm
05239560,parked,False,True,True,,services,other,project_oneoff,horizontal,insufficient_evidence,insufficient_evidence,0.2,No website text available; routed to insufficient_evidence without an LLM call.,True,disagree_no_text_review
03854965,scraped,True,True,True,,software,app_dev,recurring_managed,horizontal,app_dev,app_dev__horizontal,0.9,Builds and owns subscription bundling software platform,False,disagree_trust_llm
05321116,scraped,True,True,True,,services,msp_infrastructure|networking,recurring_managed,horizontal,msp_infrastructure,msp_infrastructure__horizontal,0.9,"Telecommunication support services, reverse logistics, equipment disposal and repair.",False,disagree_trust_llm
06855467,scraped,True,True,True,,hardware_infra,other,resale_distribution,horizontal,other,other__horizontal,0.8,Hardware provider for communication solutions,False,disagree_trust_llm
05448638,no-url,False,True,True,,services,other,project_oneoff,horizontal,insufficient_evidence,insufficient_evidence,0.2,No website text available; routed to insufficient_evidence without an LLM call.,True,disagree_no_text_review
13022948,scraped,True,True,True,,software,data_analytics_ai|app_dev,recurring_managed,finserv,data_analytics_ai__finserv,data_analytics_ai__finserv,1.0,AI platform for investment diligence and analysis,False,agree_boost
06414209,scraped,True,True,True,,services,other,recurring_managed,education|healthcare,other__education,other__education,0.7,Charity providing music opportunities for disabled youth,False,disagree_trust_llm
11241397,scraped,True,True,True,,services,other,project_oneoff,construction|property,other__construction,other__construction,0.8,Consultancy and support for BIM in construction and property,False,disagree_trust_llm
07138038,scraped,True,True,True,,software,app_dev|data_analytics_ai,recurring_managed,finserv,app_dev__finserv,app_dev__finserv,1.0,Builds regulatory reporting software for financial services,False,agree_boost
12892167,scraped,True,True,True,,software,other,recurring_managed,horizontal,other,other,0.4,"Software publishing, cookie consent, privacy policy",False,agree_boost
10079176,scraped,True,True,True,,services,msp_infrastructure|app_dev,recurring_managed,retail|horizontal,msp_infrastructure__retail,msp_infrastructure__retail,0.8,"IT support, system implementation, MDM solutions",False,disagree_trust_llm
07152585,no-url,False,True,True,,services,other,project_oneoff,horizontal,insufficient_evidence,insufficient_evidence,0.2,No website text available; routed to insufficient_evidence without an LLM call.,True,disagree_no_text_review
04327369,scraped,True,True,True,,services,data_analytics_ai|app_dev,recurring_managed,govt,data_analytics_ai__govt,data_analytics_ai__govt,1.0,IT managed services and GenAI tools for local authorities,False,agree_boost
10527963,scraped,True,True,True,,data_info_services,other,recurring_managed,horizontal,other,other__horizontal,0.8,"Provides free geographic data, community driven",False,disagree_trust_llm
10436682,scraped,True,True,True,,software,app_dev,recurring_managed,retail|horizontal,app_dev__retail,app_dev__retail,0.9,Software platform for restaurant reservations and reviews,False,agree_boost
03104226,failed,False,True,True,,services,other,project_oneoff,horizontal,insufficient_evidence,insufficient_evidence,0.3,No website text available; routed to insufficient_evidence without an LLM call.,True,agree_boost
12065952,scraped,True,True,True,,software,app_dev,recurring_managed,horizontal,app_dev,app_dev,0.8,Builds web and mobile apps cloud software,False,no_rules_overlap
03056866,scraped,True,True,True,,software,app_dev|erp_crm,recurring_managed,finserv,app_dev__finserv,app_dev__finserv,1.0,Builds and sells energy trading software suite,False,agree_boost
09377918,failed,False,True,True,,services,other,project_oneoff,horizontal,insufficient_evidence,insufficient_evidence,0.2,No website text available; routed to insufficient_evidence without an LLM call.,True,disagree_no_text_review
05499852,scraped,True,True,True,,software,app_dev|erp_crm,recurring_managed,horizontal,app_dev,app_dev__horizontal,1.0,"Builds web-to-print software platform, offers integrations and support",False,disagree_trust_llm
09876933,scraped,True,True,True,,services,other,recurring_managed,horizontal,other,other__horizontal,0.7,"Cleaning services, not tech focused",False,disagree_trust_llm
10726054,scraped,True,True,True,,software,data_analytics_ai|app_dev,recurring_managed,retail|horizontal,data_analytics_ai__retail,data_analytics_ai__retail,0.8,AI platform for creator marketing and UGC,False,disagree_trust_llm
09706742,scraped,True,True,True,,data_info_services,data_analytics_ai,recurring_managed,horizontal,data_analytics_ai,data_analytics_ai__horizontal,0.9,Sports data analytics and fan intelligence platform,False,disagree_trust_llm
12405012,scraped,True,True,True,,services,data_analytics_ai,project_oneoff,horizontal,data_analytics_ai,data_analytics_ai__horizontal,0.9,"Data analytics consultancy, computational solutions, AI enhanced",False,disagree_trust_llm
07960658,scraped,True,True,True,,services,msp_infrastructure,recurring_managed,horizontal,msp_infrastructure,msp_infrastructure__horizontal,0.9,Provides data centre power solutions and maintenance services,False,disagree_trust_llm
03943364,failed,False,True,True,,services,other,project_oneoff,horizontal,insufficient_evidence,insufficient_evidence,0.2,No website text available; routed to insufficient_evidence without an LLM call.,True,disagree_no_text_review
09965748,failed,False,True,True,,services,other,project_oneoff,horizontal,insufficient_evidence,insufficient_evidence,0.2,No website text available; routed to insufficient_evidence without an LLM call.,True,disagree_no_text_review
03409969,scraped,True,True,True,,data_info_services,data_analytics_ai,recurring_managed,finserv,data_analytics_ai__finserv,data_analytics_ai__finserv,0.9,Data insights and benchmarks for financial services,False,disagree_trust_llm
07415240,failed,False,True,True,,services,other,project_oneoff,horizontal,insufficient_evidence,insufficient_evidence,0.2,No website text available; routed to insufficient_evidence without an LLM call.,True,disagree_no_text_review
03001839,parked,False,True,True,,services,other,project_oneoff,horizontal,insufficient_evidence,insufficient_evidence,0.2,No website text available; routed to insufficient_evidence without an LLM call.,True,disagree_no_text_review
06418281,failed,False,True,True,,services,other,project_oneoff,horizontal,insufficient_evidence,insufficient_evidence,0.2,No website text available; routed to insufficient_evidence without an LLM call.,True,disagree_no_text_review
04859757,scraped,True,True,True,,data_info_services,data_analytics_ai,recurring_managed,retail|manufacturing,data_analytics_ai__retail,data_analytics_ai__retail,1.0,"Owns AI platform, data systems, provides retail analytics",False,agree_boost
10932318,scraped,True,True,True,,services,other,recurring_managed,horizontal,other,other,0.8,Certification and training for security and fire safety,False,disagree_trust_llm
00908743,parked,False,True,True,,services,other,project_oneoff,horizontal,insufficient_evidence,insufficient_evidence,0.2,No website text available; routed to insufficient_evidence without an LLM call.,True,disagree_no_text_review
06852472,scraped,True,True,True,,services,msp_infrastructure|networking,recurring_managed,horizontal,msp_infrastructure,msp_infrastructure__horizontal,0.9,Provides communication and infrastructure services with 24x7 support,False,disagree_trust_llm
13336418,scraped,True,True,True,,services,other,recurring_managed,healthcare|horizontal,other__healthcare,other__healthcare,0.7,"Insurance services, risk management, healthcare focus",False,disagree_trust_llm
09797810,failed,False,True,True,,services,other,project_oneoff,horizontal,insufficient_evidence,insufficient_evidence,0.3,No website text available; routed to insufficient_evidence without an LLM call.,True,agree_boost
09055065,scraped,True,True,True,,software,app_dev,project_oneoff,horizontal,app_dev,app_dev,1.0,Independent games developer building software products,False,agree_boost
07822337,scraped,True,True,True,,software,app_dev,recurring_managed,horizontal,app_dev,app_dev,1.0,Develops and publishes own video games and other media,False,agree_boost
09778619,scraped,True,True,True,,software,app_dev,recurring_managed,horizontal,app_dev,app_dev__horizontal,0.9,Builds and owns software products for clients,False,no_rules_overlap
09242159,scraped,True,True,True,,software,app_dev|data_analytics_ai,recurring_managed,healthcare|horizontal,app_dev__healthcare,app_dev__healthcare,0.9,Builds health and fitness app with rewards,False,agree_boost
SC652007,scraped,True,True,True,,software,app_dev,recurring_managed,horizontal,app_dev,app_dev,1.0,Develops and owns game software products,False,agree_boost
07599342,failed,False,True,True,,services,other,project_oneoff,horizontal,insufficient_evidence,insufficient_evidence,0.2,No website text available; routed to insufficient_evidence without an LLM call.,True,disagree_no_text_review
09621040,scraped,True,True,True,,software,app_dev,project_oneoff,education,app_dev__education,app_dev__education,0.9,Develops educational games and apps for clients,False,no_rules_overlap
SC644087,scraped,True,True,True,,software,app_dev|data_analytics_ai,project_oneoff,horizontal,app_dev,app_dev__horizontal,0.9,"Builds digital products, data AI, strategy",False,agree_boost
10460240,parked,False,True,True,,services,other,project_oneoff,horizontal,insufficient_evidence,insufficient_evidence,0.2,No website text available; routed to insufficient_evidence without an LLM call.,True,disagree_no_text_review
04421466,scraped,True,True,True,,software,app_dev,recurring_managed,horizontal,app_dev,app_dev__horizontal,1.0,Builds software applications and digital tools for clients,False,agree_boost
01660096,failed,False,True,True,,services,other,project_oneoff,horizontal,insufficient_evidence,insufficient_evidence,0.2,No website text available; routed to insufficient_evidence without an LLM call.,True,no_rules_overlap
11558741,scraped,True,True,True,,software,data_analytics_ai|erp_crm,recurring_managed,retail|horizontal,data_analytics_ai__retail,data_analytics_ai__retail,0.9,AI assistant for retail operations and staff optimisation,False,no_rules_overlap
09316629,scraped,True,True,True,,software,app_dev,recurring_managed,horizontal,app_dev,app_dev__horizontal,0.8,"Software development company, likely B2C",False,disagree_trust_llm
12148954,no-url,False,True,True,,services,other,project_oneoff,horizontal,insufficient_evidence,insufficient_evidence,0.3,No website text available; routed to insufficient_evidence without an LLM call.,True,agree_boost
03511611,no-url,False,True,True,,services,other,project_oneoff,horizontal,insufficient_evidence,insufficient_evidence,0.3,No website text available; routed to insufficient_evidence without an LLM call.,True,agree_boost
13326180,no-url,False,True,True,,services,other,project_oneoff,horizontal,insufficient_evidence,insufficient_evidence,0.2,No website text available; routed to insufficient_evidence without an LLM call.,True,disagree_no_text_review
08302864,no-url,False,True,True,,services,other,project_oneoff,horizontal,insufficient_evidence,insufficient_evidence,0.3,No website text available; routed to insufficient_evidence without an LLM call.,True,agree_boost
10469759,no-url,False,True,True,,services,other,project_oneoff,horizontal,insufficient_evidence,insufficient_evidence,0.2,No website text available; routed to insufficient_evidence without an LLM call.,True,no_rules_overlap
13113088,no-url,False,True,True,,services,other,project_oneoff,horizontal,insufficient_evidence,insufficient_evidence,0.3,No website text available; routed to insufficient_evidence without an LLM call.,True,agree_boost
07660813,no-url,False,True,True,,services,other,project_oneoff,horizontal,insufficient_evidence,insufficient_evidence,0.3,No website text available; routed to insufficient_evidence without an LLM call.,True,agree_boost
10329840,no-url,False,True,True,,services,other,project_oneoff,horizontal,insufficient_evidence,insufficient_evidence,0.2,No website text available; routed to insufficient_evidence without an LLM call.,True,no_rules_overlap
07878274,no-url,False,True,True,,services,other,project_oneoff,horizontal,insufficient_evidence,insufficient_evidence,0.3,No website text available; routed to insufficient_evidence without an LLM call.,True,agree_boost
SC258005,no-url,False,True,True,,services,other,project_oneoff,horizontal,insufficient_evidence,insufficient_evidence,0.2,No website text available; routed to insufficient_evidence without an LLM call.,True,disagree_no_text_review
13094508,no-url,False,True,True,,services,other,project_oneoff,horizontal,insufficient_evidence,insufficient_evidence,0.2,No website text available; routed to insufficient_evidence without an LLM call.,True,disagree_no_text_review
02762003,no-url,False,True,True,,services,other,project_oneoff,horizontal,insufficient_evidence,insufficient_evidence,0.3,No website text available; routed to insufficient_evidence without an LLM call.,True,agree_boost
03110996,no-url,False,True,True,,services,other,project_oneoff,horizontal,insufficient_evidence,insufficient_evidence,0.3,No website text available; routed to insufficient_evidence without an LLM call.,True,agree_boost
11648653,no-url,False,True,True,,services,other,project_oneoff,horizontal,insufficient_evidence,insufficient_evidence,0.2,No website text available; routed to insufficient_evidence without an LLM call.,True,no_rules_overlap
06969486,no-url,False,True,True,,services,other,project_oneoff,horizontal,insufficient_evidence,insufficient_evidence,0.3,No website text available; routed to insufficient_evidence without an LLM call.,True,agree_boost
08275361,no-url,False,True,True,,services,other,project_oneoff,horizontal,insufficient_evidence,insufficient_evidence,0.3,No website text available; routed to insufficient_evidence without an LLM call.,True,agree_boost
11446988,no-url,False,True,True,,services,other,project_oneoff,horizontal,insufficient_evidence,insufficient_evidence,0.2,No website text available; routed to insufficient_evidence without an LLM call.,True,no_rules_overlap
01800000,no-url,False,True,True,,services,other,project_oneoff,horizontal,insufficient_evidence,insufficient_evidence,0.2,No website text available; routed to insufficient_evidence without an LLM call.,True,disagree_no_text_review
06624539,no-url,False,True,True,,services,other,project_oneoff,horizontal,insufficient_evidence,insufficient_evidence,0.2,No website text available; routed to insufficient_evidence without an LLM call.,True,disagree_no_text_review
SC293569,no-url,False,True,True,,services,other,project_oneoff,horizontal,insufficient_evidence,insufficient_evidence,0.3,No website text available; routed to insufficient_evidence without an LLM call.,True,agree_boost
10953180,scraped,True,True,True,,services,data_analytics_ai|app_dev,recurring_managed,govt,data_analytics_ai__govt,data_analytics_ai__govt,0.9,"Digital marketing services, analytics, content for government",False,disagree_trust_llm
10964910,scraped,True,True,True,,services,msp_infrastructure|app_dev,recurring_managed,horizontal,msp_infrastructure,msp_infrastructure__horizontal,0.9,"Value-add services, cloud, managed, professional services, partner programs",False,disagree_trust_llm
12798408,scraped,True,True,True,,software,app_dev,project_oneoff,horizontal,app_dev,app_dev__horizontal,0.8,"Creates films and immersive experiences, AR products",False,no_rules_overlap
SC411872,scraped,True,True,True,,software,app_dev,project_oneoff,govt|horizontal,app_dev__govt,app_dev__govt,1.0,Designs and develops websites and bespoke functionality for clients,False,agree_boost
11630296,scraped,True,True,True,,services,other,project_oneoff,finserv|horizontal,other__finserv,other__finserv,0.7,"Digital products business, investment solutions, asset management",False,no_rules_overlap
03596759,scraped,True,True,True,,services,msp_infrastructure|other,recurring_managed,horizontal,msp_infrastructure,msp_infrastructure__horizontal,1.0,Outsourced IT support and managed services for SMEs,False,disagree_trust_llm
NI665668,failed,False,True,True,,services,other,project_oneoff,horizontal,insufficient_evidence,insufficient_evidence,0.2,No website text available; routed to insufficient_evidence without an LLM call.,True,disagree_no_text_review
03544792,scraped,True,True,True,,software,app_dev|networking,recurring_managed,horizontal,app_dev,app_dev__horizontal,1.0,Builds enterprise software for service providers,False,disagree_trust_llm
11984106,failed,False,True,True,,services,other,project_oneoff,horizontal,insufficient_evidence,insufficient_evidence,0.2,No website text available; routed to insufficient_evidence without an LLM call.,True,no_rules_overlap
